도서명	저자	출판사	출판일	가격
슬기로운 교사 생활 캔바 AI 수업 활용법	미나리쌤	골든래빗	2026년 07월	21,420
된다! 하루 만에 끝내는 챗GPT 활용법	프롬프트 크리에이터	이지스퍼블리싱	2025년 06월	18,000
리더의 AI 노트	김지현	한빛미디어	2026년 06월	21,600
90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제	최우진	앤써북	2026년 07월	15,930
회사는 엑셀을 가르쳐주지 않아요	쏘피(박성희)	메가스터디북스	2022년 09월	16,200
검색은 끝났다 AEO·GEO 마케팅	주민건, 한용희, 김진용	골든래빗	2026년 06월	21,600
다시, 소프트웨어 엔지니어	네서니얼 슈타, 댄 베가, 박성철	책만	2026년 05월	27,000
AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지	김용성	프리렉	2026년 04월	22,500
혼자 공부하는 머신러닝+딥러닝	박해선	한빛미디어	2025년 04월	28,800
수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법	황은지	제이펍	2026년 05월	19,800
된다! 하루 만에 준비하는 AI 학교 수업 활용법	정인걸, 김경수	이지스퍼블리싱	2025년 03월	17,820
혼자 공부하는 C 언어	서현우	한빛미디어	2023년 05월	23,400
밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복	엄태효	위키북스	2026년 06월	25,200
클로드 코워크	신승희	생능북스	2026년 06월	21,600
아키텍처는 진화한다	공상휘	인사이트(insight)	2026년 07월	25,200
AI시대에 난생처음 들어보는 데이터센터 이야기	김주회	북플레이트	2026년 04월	19,800
진짜 쓰는 프리미어 영상 편집 2026 (최신개정판)	조블리	제이펍	2026년 06월	23,400
요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!	임우균, 서지원	앤써북	2026년 02월	15,120
그림으로 이해하는 IT 인프라 구조와 기술	츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카, 김성훈	길벗	2026년 06월	19,800
클로드 코워크 시작하기	조남경	비엘북스	2026년 07월	25,200
AI 냄새 지우기	벤진 리드	자이언톡	2026년 06월	17,820
된다! 스레드 활용법	거북이걸음	이지스퍼블리싱	2026년 06월	19,800
돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그	정소희	골든래빗	2026년 04월	23,220
된다! 조회수 터지는 인스타그램 릴스 만들기	최지영	이지스퍼블리싱	2026년 03월	18,900
맛있는 디자인 포토샵&일러스트레이터 CC 2026	박정아, 윤이사라	한빛미디어	2026년 02월	23,400
7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판)	홍순성	한빛미디어	2026년 06월	22,500
Do it! 유니티 6로 게임 제작 & 출시하기	고정운	이지스퍼블리싱	2026년 05월	32,400
AI 실전 마스터 칼릭스의 프롬프트 디테일	칼릭스(손윤석)	한빛비즈	2026년 04월	19,800
n8n이 다 해줌	이인영, 임정	한빛미디어	2026년 04월	25,200
한 권으로 끝내는 피지컬 AI ROS2 입문+실전(종합편)	서민우, 전현희, 이현아, 박찬호	앤써북	2026년 04월	22,950
Do it! LLM을 활용한 AI 에이전트 개발 입문	이성용	이지스퍼블리싱	2025년 05월	31,500
혼자 공부하는 컴퓨터 구조+운영체제	강민철	한빛미디어	2022년 08월	25,200
요즘 바이브 코딩 하네스 with 클로드 코드	조성진	골든래빗	2026년 06월	27,000
클로드 코드를 활용한 바이브 코딩 완벽 입문	히라카와 토모히데, 최용	위키북스	2026년 03월	23,400
누구나 성공하는 AI 비서, 오픈클로	박권, 임세범, 홍성용, 정용석, 김경상, 정보 더 보기/감추기, 박권, 임세범, 홍성용, 정용석, 김경상, 김준오, 강현수	책밥	2026년 07월	21,600
AI 영상 제작	문수민, 민지영, 신호진, 강경희, 앤미디어	길벗	2026년 07월	24,300
벡터 데이터베이스 설계와 구축	송기상	아이리포	2026년 07월	17,820
생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼)	장미희	박문각	2026년 07월	20,900
