순위,도서명,저자,출판사,출판일,가격,링크
180,코딩 자율학습 나도코딩의 파이썬 입문,나도코딩,길벗,2023년 02월,"21,600",https://www.yes24.com/product/goods/117373102
181,세계관을 창조하는 판타지 배색 아이디어 사전,"사쿠라이 테루코, 하시 카츠카메, 허영은",한스미디어,2023년 01월,"5,625",https://www.yes24.com/product/goods/116962528
182,비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지,2020년 07월,"15,120",https://www.yes24.com/product/goods/91165789
183,라프 코스터의 재미이론 10주년 개정판,"라프 코스터, 유창석, 전유택",길벗,2017년 03월,"19,800",https://www.yes24.com/product/goods/37335066
184,Do it! C 언어 입문,김성엽,이지스퍼블리싱,2017년 01월,"22,500",https://www.yes24.com/product/goods/35094862
185,라즈베리파이 5로 배우는 AI 인공지능 자율주행 자동차 만들기 + 데이터 수집 · 학습 + 딥러닝,장문철,앤써북,2026년 06월,"21,960",https://www.yes24.com/product/goods/190272428
186,초간단 캡컷 AI 영상 편집,이용태,책바세,2026년 08월,"19,800",https://www.yes24.com/product/goods/193583379
187,심플 디자인,박영록,위키북스,2026년 07월,"16,200",https://www.yes24.com/product/goods/193058538
188,한눈에 보는 대한민국 코스피,MrTrigger,한빛미디어,2026년 06월,"23,400",https://www.yes24.com/product/goods/192326062
189,혼자 완성하는 Java 풀코스,심상원,아이콕스(iCox),2026년 07월,"30,600",https://www.yes24.com/product/goods/192285191
190,다름을 연결하는 교실 설계자가 되기 위한 필수 실천서! AI 에듀테크로 다문화 수업 쉽게 설계하기!,"유영미, 유예찬, 이근경, 이효진, 정홍교, 정보 더 보기/감추기, 유영미, 유예찬, 이근경, 이효진, 정홍교, 박천용, 김승환, 송지영, 김민주, 양은숙, 손지후, 강동호, 김가람, 오지현, 오가람",광문각출판미디어,2026년 06월,"20,000",https://www.yes24.com/product/goods/192155530
191,셀프프롬프트,전행진,퍼블리터,2026년 06월,"16,650",https://www.yes24.com/product/goods/192026072
192,"캔바로 만든 디자인, 돈이 됩니다",리몬(안형선),길벗,2026년 06월,"19,800",https://www.yes24.com/product/goods/190216116
193,AI가 다 하고 내가 돈 버는 앱 만들기,서희찬,길벗,2026년 05월,"25,200",https://www.yes24.com/product/goods/189854100
194,AI 게임 개발 시작,김정태,홍릉,2026년 05월,"25,000",https://www.yes24.com/product/goods/189749546
195,AI 바이브 코딩 마스터,"정의석, 정윤식",영진닷컴,2026년 05월,"32,400",https://www.yes24.com/product/goods/189628201
196,클로드 디자인 시작하기,조남경,비엘북스,2026년 05월,"22,500",https://www.yes24.com/product/goods/189037004
197,맛있는 디자인 포토샵 CC 2026,윤이사라,한빛미디어,2026년 04월,"23,400",https://www.yes24.com/product/goods/188108093
198,된다! 하루 만에 준비하는 캔바 AI 수업 활용법 with 2022 개정 교육과정,"정인걸, 김경수",이지스퍼블리싱,2026년 05월,"21,600",https://www.yes24.com/product/goods/188012932
199,에이전트 시대의 AI 시스템 설계,"발리아파 락슈마난, 하네스 막스 하프케, 류광",한빛미디어,2026년 04월,"37,800",https://www.yes24.com/product/goods/187519430
200,하이러닝으로 끝내는 AI 디지털 수업 50제,"유지현, 조윤호, 고윤경, 진연자, 곽지현, 정보 더 보기/감추기, 유지현, 조윤호, 고윤경, 진연자, 곽지현, 최혜진, 최정은, 조희정, 조연영, 이성찬, 허윤영, 정승연",한빛미디어,2026년 04월,"21,600",https://www.yes24.com/product/goods/187222189
201,바이브 코딩 with 구글 안티그래비티,노성환,영진닷컴,2026년 04월,"16,200",https://www.yes24.com/product/goods/186939301
202,그림으로 배우는 생성형 AI,"프리양카 베르가디아, 발리아파 락슈마난, 류광",한빛미디어,2026년 04월,"29,700",https://www.yes24.com/product/goods/186663875
203,새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오,새나곰(정은아),한빛미디어,2026년 03월,"20,700",https://www.yes24.com/product/goods/182628538
204,캔바 AI,"신승희, 앤미디어",생능북스,2026년 03월,"21,600",https://www.yes24.com/product/goods/180209658
205,엑셀 대신 챗GPT,오종현,한빛미디어,2026년 03월,"19,800",https://www.yes24.com/product/goods/179710994
206,요즘 바이브 코딩 안티그래비티 완벽 가이드,최지호,골든래빗,2026년 02월,"25,200",https://www.yes24.com/product/goods/174658020
207,초등학생을 위한 AI 미래 지식 74,"김영현, 최정을",길벗스쿨,2026년 01월,"15,300",https://www.yes24.com/product/goods/173657299
208,수노로 시작하는 AI 작곡,"강성우, 한나래",제이펍,2025년 12월,"18,000",https://www.yes24.com/product/goods/168840773
209,"어쨌든, 바이브 코딩","코다프레스, 양희은",인사이트(insight),2025년 12월,"19,800",https://www.yes24.com/product/goods/168561327
210,소프트웨어 아키텍처 The Basics,"마크 리처즈, 닐 포드, 류광, 307번역랩",한빛미디어,2025년 11월,"38,700",https://www.yes24.com/product/goods/167431026
211,요즘 바이브 코딩 깃허브 코파일럿 31가지 프로그램 만들기,박현규,골든래빗,2025년 12월,"21,600",https://www.yes24.com/product/goods/167428992
212,연필과 종이로 풀어보는 AI 딥러닝 수학 워크북 214제,톰 예,아티오,2025년 12월,"17,100",https://www.yes24.com/product/goods/167144757
213,그림으로 이해하는 도커와 쿠버네티스,"토쿠나가 코헤이, 서수환",길벗,2025년 11월,"19,800",https://www.yes24.com/product/goods/166665802
214,학교 업무가 쉬워지는 구글 스프레드시트 실전 가이드북,"김동호, 민동수, 박준택, 오보람, 윤수진, 정보 더 보기/감추기, 김동호, 민동수, 박준택, 오보람, 윤수진, 나혜진",씨마스21,2026년 01월,"19,800",https://www.yes24.com/product/goods/163495217
215,써니쌤과 함께 처음 시작하는 SNS 디자인 캔바,써니쌤 강성은,시원북스,2025년 10월,"17,820",https://www.yes24.com/product/goods/160217631
216,"챗GPT는 거들 뿐, 생기부는 내가 쓴다","장승아, 조원정",위키북스,2025년 09월,"14,400",https://www.yes24.com/product/goods/153913285
217,기술·가정 교사가 만든 기술·가정 교사를 위한 찐 실전 챗GPT (생성형 AI (에듀테크) 기술·가정 수업 활용하기!),"봉우리, 이호준, 윤지원, 김보정",광문각출판미디어,2025년 08월,"17,000",https://www.yes24.com/product/goods/152399336
218,나는 CODAP으로 데이터 분석한다,"최정원, 류현욱, 박근영, 박예람, 유동호, 정보 더 보기/감추기, 최정원, 류현욱, 박근영, 박예람, 유동호, 유하연, 이완범, 이원경, 이지현, 최희진, 허영주",씨마스,2025년 06월,"22,500",https://www.yes24.com/product/goods/148082413
219,회사에서 바로 통하는 실무 엑셀,한은숙,한빛미디어,2025년 06월,"20,700",https://www.yes24.com/product/goods/147561155
220,처음이야? 파이썬 기초,"윤영빈, 오환, 이용희",영진닷컴,2025년 06월,"18,000",https://www.yes24.com/product/goods/147103661
221,2022 개정과 IB 교육 철학을 적용한 초등 개념기반 탐구수업•서술형평가 설계와 실천,진경오,앤써북,2025년 05월,"18,900",https://www.yes24.com/product/goods/147034290
222,현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!,"김요섭, 허영주, 조래정, 정재우",광문각출판미디어,2025년 04월,"15,000",https://www.yes24.com/product/goods/145383562
223,M365 코파일럿 무작정 따라하기,"김시연, 서지영",길벗,2025년 04월,"19,800",https://www.yes24.com/product/goods/145015291
224,공여사들의 엑셀 혁명 with 챗GPT,공여사들,한빛미디어,2025년 03월,"18,900",https://www.yes24.com/product/goods/144073133
225,교사를 위한 패들렛 Padlet,안익재,앤써북,2025년 03월,"15,120",https://www.yes24.com/product/goods/143786416
226,도덕적인 AI,"월터 시넛 암스트롱, 재나 셰익 보그, 빈센트 코니처, 박초월",김영사,2025년 01월,"19,800",https://www.yes24.com/product/goods/141746357
227,머신비전 비밀노트,㈜앤비젼,바른북스,2024년 10월,"21,600",https://www.yes24.com/product/goods/135818136
228,NEW 우당탕탕 한글 2020/2022로 문서만들기,교재개발팀,마린북스,2024년 08월,"12,600",https://www.yes24.com/product/goods/132412221
229,AI를 위한 필수 수학,"할라 넬슨, 안민재",한빛미디어,2024년 08월,"40,500",https://www.yes24.com/product/goods/130156635
230,"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정)","지미정, 오한나, 노명호, 권의선, 김영수, 정보 더 보기/감추기, 지미정, 오한나, 노명호, 권의선, 김영수, 이진원, 장희영, 소민영, 조보현",앤써북,2024년 09월,"18,900",https://www.yes24.com/product/goods/130156178
231,Do it! 5일 만에 끝내는 깃&깃허브 입문,"고경희, 이고잉",이지스퍼블리싱,2024년 08월,"16,200",https://www.yes24.com/product/goods/130093155
232,LLM을 활용한 실전 AI 애플리케이션 개발,"허정준, 정진호, 박재호",책만,2024년 07월,"28,800",https://www.yes24.com/product/goods/129081594
233,마인크래프트 몹 완벽 가이드,"Mojang Studio, 이주안",영진닷컴,2024년 04월,"16,200",https://www.yes24.com/product/goods/126037720
234,된다! 김메주의 유튜브 채널&영상 만들기,김혜주,이지스퍼블리싱,2024년 04월,"17,100",https://www.yes24.com/product/goods/125692722
235,마인크래프트 미니게임 만들기,우마공 운영진,영진닷컴,2024년 02월,"15,120",https://www.yes24.com/product/goods/125101417
236,된다! 7일 실무 한글,한정희,이지스퍼블리싱,2023년 10월,"16,200",https://www.yes24.com/product/goods/122598455
237,그림으로 이해하는 네트워크 구조와 기술,"나카오 신지, 김성훈",길벗,2023년 07월,"19,800",https://www.yes24.com/product/goods/120241473
238,프로덕트 매니지먼트,김영욱,한빛미디어,2023년 06월,"20,700",https://www.yes24.com/product/goods/119409915
239,포켓몬스터 레츠고! 피카츄ㆍ레츠고! 이브이 속성클리어모험가이드,,학산문화사(단행본),2022년 11월,"10,800",https://www.yes24.com/product/goods/116431437
240,실용주의 프로그래머,"데이비드 토머스, 앤드류 헌트, 정지용, 김창준",인사이트(insight),2022년 02월,"29,700",https://www.yes24.com/product/goods/107077663
241,Real MySQL 8.0 (1권),"백은빈, 이성욱",위키북스,2021년 09월,"27,000",https://www.yes24.com/product/goods/103415627
242,함께 자라기,김창준,인사이트(insight),2018년 11월,"11,700",https://www.yes24.com/product/goods/67350256
243,모두의 파이썬,이승찬,길벗,2018년 10월,"10,800",https://www.yes24.com/product/goods/66531799
244,친절한 SQL 튜닝,조시형,디비안(DBian),2018년 06월,"34,200",https://www.yes24.com/product/goods/61254539
245,도널드 노먼의 디자인 심리학,"도널드 노먼, 범어디자인연구소",유엑스리뷰,2018년 04월,"31,500",https://www.yes24.com/product/goods/59580711
246,Do it! 오토캐드 2027 + AI,박한울,이지스퍼블리싱,2026년 06월,"27,900",https://www.yes24.com/product/goods/191193818
247,게임으로 철학하기,"주자안, 정세경",현암사,2026년 05월,"20,700",https://www.yes24.com/product/goods/189335830
248,일 잘하는 직장인,"일머리스쿨 (송경이,  유진희)",이지스퍼블리싱,2025년 11월,"16,200",https://www.yes24.com/product/goods/160153189
249,생성형 AI를 위한 프롬프트 엔지니어링,"제임스 피닉스, 마이크 테일러, 정의형, 정한결",한빛미디어,2025년 06월,"34,200",https://www.yes24.com/product/goods/147735087
250,AI와 라이프 아크,노유진,커뮤니케이션북스,2026년 07월,"12,000",https://www.yes24.com/product/goods/193448340
251,"그로스 IQ, 비즈니스 성장 바이블","티파니 보바, 고현석",골든래빗,2026년 07월,"25,200",https://www.yes24.com/product/goods/193350963
252,생성형 AI로 완성하는 회계 · 세무실무,박현준,도서출판배움,2026년 04월,"10,800",https://www.yes24.com/product/goods/193183459
253,AWS 교과서,"서종호, 김원일, 김석필",길벗,2026년 07월,"34,200",https://www.yes24.com/product/goods/192731324
254,내 AI 천재로 키우는 법 1,이태종,이태종NIE논술연구소,2026년 07월,"22,500",https://www.yes24.com/product/goods/192687429
255,AI를 활용한 실내디자인 프레젠테이션 스킬,박남용,피앤피북,2026년 07월,"20,700",https://www.yes24.com/product/goods/192579676
256,회사에서 바로 통하는 오토캐드 AutoCAD 2027,심미현,한빛미디어,2026년 06월,"26,100",https://www.yes24.com/product/goods/192302542
257,프롬프트 해부학,박민지,루비페이퍼,2026년 06월,"25,200",https://www.yes24.com/product/goods/192139754
258,준비 끝 다음 수업 AI 에듀테크,노희경,비제이퍼블릭(BJ퍼블릭),2026년 06월,"24,750",https://www.yes24.com/product/goods/191852111
259,이것이 멀티 에이전트다,서지영,한빛미디어,2026년 06월,"31,500",https://www.yes24.com/product/goods/190213684
260,유튜브 AI 비서 고용하기 제미나이 X 노트북LM X 구글 스프레드시트,조현정,골든래빗,2026년 06월,"21,600",https://www.yes24.com/product/goods/189823964
261,트랜스포머 아키텍처로 배우는 AI 에이전트 with 랭체인 & 랭그래프,장철원,한빛미디어,2026년 05월,"35,100",https://www.yes24.com/product/goods/189759363
262,코딩 자율학습 FastAPI 파이썬 백엔드 개발 입문,신동현,길벗,2026년 05월,"25,200",https://www.yes24.com/product/goods/189353153
263,프로덕트 디자이너로 살아남기,강영화,이오스튜디오,2026년 05월,"17,100",https://www.yes24.com/product/goods/189287920
264,이게 되네? 나노바나나 2 AI 비포&애프터 미친 활용법 82제,쌩초,골든래빗,2026년 05월,"21,600",https://www.yes24.com/product/goods/188600611
265,중국 휴머노이드 로봇,김종문,다빈치books,2026년 05월,"19,800",https://www.yes24.com/product/goods/188189600
266,기계가 언어를 사용한다는 것에 대한 인문학적 사유,"마크 코켈버그, 데이비드 J.건컬, 신동숙, 손화철",생각이음,2026년 04월,"17,100",https://www.yes24.com/product/goods/188188392
267,LangChain과 LangGraph로 만드는 LLM 애플리케이션 2/e,"벤 아우파스, 레오니드 쿨리긴, 옥경석, 박규성",에이콘출판사,2026년 04월,"36,000",https://www.yes24.com/product/goods/187572169
268,된다! AI 디자인 2026,김희재,이지스퍼블리싱,2026년 04월,"26,820",https://www.yes24.com/product/goods/186524949
269,딸깍! 바이브 코딩 by 안티그래비티,반병현,생능북스,2026년 04월,"22,500",https://www.yes24.com/product/goods/184675866
270,AI로 만드는 노래와 뮤직비디오,전진규,시대인,2026년 04월,"12,600",https://www.yes24.com/product/goods/184478218
271,돈이 들어오는 무재고 위탁판매 쇼핑몰,전진수,혜지원,2026년 03월,"15,300",https://www.yes24.com/product/goods/183708092
272,AI 시대 엄마가 먼저 알아야 할 최상위 공부법,"오주연, 김지예, 김현아",한빛비즈,2026년 03월,"19,800",https://www.yes24.com/product/goods/183572891
273,AI 자율학습 제미나이로 일 잘하는 법,성구(강성규),길벗,2026년 04월,"23,400",https://www.yes24.com/product/goods/182995232
274,일머리를 설계하는 AI 워크플로 with n8n,이왕석,한빛미디어,2026년 03월,"25,200",https://www.yes24.com/product/goods/182629754
275,된다! AI 상위 노출,이중대,이지스퍼블리싱,2026년 03월,"17,100",https://www.yes24.com/product/goods/181117854
276,변화를 기회로 만드는 AI력,정규진,민음인,2026년 03월,"20,700",https://www.yes24.com/product/goods/180954314
277,누구나 아는 나만 모르는 챗GPT(개정판) : 세상에서 가장 쉬운 챗GPT & AI 입문서,이성원,한빛미디어,2026년 02월,"17,100",https://www.yes24.com/product/goods/177894447
278,에지 컴퓨팅과 피지컬 AI를 위한 라즈베리파이 5,허경용,제이펍,2026년 02월,"27,000",https://www.yes24.com/product/goods/177866994
279,AI 게임 개발 with 코덱스,정윤지(유리링),한빛미디어,2026년 02월,"28,800",https://www.yes24.com/product/goods/177187498
280,대체불가능,"파스칼 보넷, 김정민",제이펍,2026년 02월,"19,800",https://www.yes24.com/product/goods/177123635
281,한 권으로 끝내는 실전 LLM 파인튜닝,강다솔,위키북스,2026년 02월,"28,800",https://www.yes24.com/product/goods/176913080
282,누구나 아는 나만 모르는 제미나이,이성원,한빛미디어,2026년 01월,"17,100",https://www.yes24.com/product/goods/172517063
283,직장인을 위한 AI 실무 엑셀,선양미,길벗,2025년 12월,"22,500",https://www.yes24.com/product/goods/169704757
284,올라마와 오픈소스 LLM을 활용한 AI 에이전트 개발 입문,"서영배, 김병규, 임재봉",위키북스,2026년 01월,"25,200",https://www.yes24.com/product/goods/168727208
285,대한민국 교육 르네상스 : 대전환시대 교육의 본질을 탐하다,"지미정, 김진관, 윤신영, 박미지, 윤여옥, 정보 더 보기/감추기, 지미정, 김진관, 윤신영, 박미지, 윤여옥, 김희수, 박선정, 강원빈, 이대형, 서지나, 서동욱, 하나, 남궁정, 임보라, 김하연",앤써북,2026년 01월,"18,000",https://www.yes24.com/product/goods/167476779
286,AI 버블이 온다,"아르빈드 나라야난, 사야시 카푸르, 강미경",윌북(willbook),2025년 12월,"22,320",https://www.yes24.com/product/goods/167465671
287,그로스 해킹 (10주년 기념 증보판),"라이언 홀리데이, 고영혁",길벗,2025년 11월,"19,800",https://www.yes24.com/product/goods/167463337
288,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,이호정,리코멘드,2025년 11월,"25,200",https://www.yes24.com/product/goods/162322988
289,이공계생을 위한 파이썬 필수예제 2,윤성호,지오북스,2025년 10월,"25,000",https://www.yes24.com/product/goods/153290513
290,요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,박현규,골든래빗,2025년 09월,"21,600",https://www.yes24.com/product/goods/153029475
291,AI 에이전트 생태계,조쉬,로드북,2025년 08월,"24,300",https://www.yes24.com/product/goods/149414736
292,회사에서 바로 통하는 실무 엑셀 데이터 활용+분석,"김경자, 송선영",한빛미디어,2025년 07월,"23,400",https://www.yes24.com/product/goods/149370133
293,디자인 트렌드 아카이브 포토샵 & 일러스트레이터,김혜주,제이펍,2025년 07월,"21,600",https://www.yes24.com/product/goods/149190058
294,시작하세요! 도커/쿠버네티스,용찬호,위키북스,2025년 07월,"32,400",https://www.yes24.com/product/goods/148124010
295,테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,이경록,리코멘드,2025년 05월,"30,600",https://www.yes24.com/product/goods/146874665
296,디자인 감각 제대로 키우는 법,"가마타 다카시, 김현미",시프트,2025년 05월,"17,100",https://www.yes24.com/product/goods/145572152
297,된다! 업무에 바로 쓰는 구글 활용법,이광희,이지스퍼블리싱,2025년 04월,"18,900",https://www.yes24.com/product/goods/144253147
298,레트로의 유니티 6 게임 프로그래밍 에센스,이제민,한빛미디어,2025년 02월,"59,400",https://www.yes24.com/product/goods/142763143
299,밑바닥부터 시작하는 딥러닝 1,"사이토 고키, 개앞맵시",한빛미디어,2025년 01월,"23,400",https://www.yes24.com/product/goods/141787639
300,선생님을 위한 노션,임세범,앤써북,2025년 01월,"19,620",https://www.yes24.com/product/goods/140242586
301,누구나 아는 나만 모르는 엑셀,이성원,한빛미디어,2024년 11월,"15,300",https://www.yes24.com/product/goods/139798543
302,혁펜하임의 Easy! 딥러닝,혁펜하임,북엔드,2024년 11월,"31,500",https://www.yes24.com/product/goods/139734696
303,아무도 알려 주지 않는 PM 필수 지식,최선신,영진닷컴,2024년 10월,"19,800",https://www.yes24.com/product/goods/133873594
304,그림과 실습으로 배우는 깃 & 깃허브 입문,한재원,위키북스,2024년 09월,"24,300",https://www.yes24.com/product/goods/133290567
305,코파일럿+엑셀 업무자동화 정석,권현욱,디지털북스,2024년 08월,"19,800",https://www.yes24.com/product/goods/129445293
306,무작정 따라하기 엑셀 파워포인트 워드+한글,"박미정, 박은진",길벗,2024년 07월,"22,500",https://www.yes24.com/product/goods/128193122
307,초등부터 중등까지 한 권으로 끝내는 엔트리와 40개의 작품들,"전진아, 김수연",앤써북,2024년 06월,"15,930",https://www.yes24.com/product/goods/128122789
308,개발자를 위한 필수 수학,"토머스 닐드, 박해선",한빛미디어,2024년 06월,"27,000",https://www.yes24.com/product/goods/126804246
309,게임 시나리오 기획자를 위한 안내서,양정윤,에이콘출판사,2024년 05월,"23,400",https://www.yes24.com/product/goods/126691841
310,다시 꺼내는 아이패드 Re:드로잉 with 프로크리에이트,금손햄찌,앤제이BOOKS,2024년 06월,"20,700",https://www.yes24.com/product/goods/126527639
311,권학봉의 포토샵&라이트룸 클래식 사진보정 강의,권학봉,황금부엉이,2024년 05월,"44,550",https://www.yes24.com/product/goods/126332003
312,그림으로 이해하는 알고리즘,"이시다 모리테루, 미야자키 슈이치, 이동규",길벗,2024년 04월,"19,800",https://www.yes24.com/product/goods/126181068
313,"디자인, 이것만 알면 쉬워져요 with 63가지 LESSON","요네쿠라 아키오, 이쿠타 신이치, 아오야나기 치사토, 최재원",책만,2024년 02월,"18,000",https://www.yes24.com/product/goods/125101568
314,파이썬 생활 프로젝트 코딩,서승희,길벗,2023년 08월,"16,200",https://www.yes24.com/product/goods/121948165
315,견고한 데이터 엔지니어링,"조 라이스, 맷 하우슬리, 김인범",한빛미디어,2023년 06월,"34,200",https://www.yes24.com/product/goods/119712582
316,린 스타트업 (10주년 기념판),"애시 모리아, 권혜정",한빛미디어,2023년 06월,"21,600",https://www.yes24.com/product/goods/119267145
317,파이썬 코딩 도장,남재윤,길벗,2023년 01월,"27,000",https://www.yes24.com/product/goods/116924336
318,C언어 Express,천인국,생능출판사,2023년 01월,"32,000",https://www.yes24.com/product/goods/116777159
319,마인크래프트 서바이벌 핸드북,"Mojang Studio, 이주안",영진닷컴,2022년 12월,"10,800",https://www.yes24.com/product/goods/116208355
320,마인크래프트 레드스톤 핸드북,"Mojang Studio, 이주안",영진닷컴,2022년 12월,"10,800",https://www.yes24.com/product/goods/116208304
321,코딩 자율학습 나도코딩의 C 언어 입문,나도코딩,길벗,2022년 10월,"23,400",https://www.yes24.com/product/goods/113791780
322,The art of game design (한국어판),"윤형섭, 한호성",홍릉과학출판사,2022년 09월,"37,050",https://www.yes24.com/product/goods/112630905
323,훅: 일상을 사로잡는 제품의 비밀,"니르 이얄, 조자현",유엑스리뷰,2022년 05월,"20,700",https://www.yes24.com/product/goods/109651824
324,코딩 자율학습 HTML + CSS + 자바스크립트,김기수,길벗,2022년 04월,"24,300",https://www.yes24.com/product/goods/108748709
325,된다! 사각사각 아이패드 드로잉 with 프로크리에이트,"레이나, 임예진, 캘리스마인드",이지스퍼블리싱,2021년 06월,"21,600",https://www.yes24.com/product/goods/102101600
326,데이터 과학을 위한 통계,"피터 브루스, 앤드루 브루스, 피터 게데크, 이준용",한빛미디어,2021년 05월,"30,600",https://www.yes24.com/product/goods/99942893
327,유니티를 몰라도 만들 수 있는 유니티 2D 게임 제작,"모리 요시나오, 김은철, 유세라",영진닷컴,2021년 02월,"19,800",https://www.yes24.com/product/goods/97316714
328,수학대백과사전,"구라모토 다카후미, 린커넥터",동양북스(동양books),2020년 12월,"16,200",https://www.yes24.com/product/goods/96375165
329,카카오톡 이모티콘 만들기,소콘소콘 김소희,길벗,2020년 09월,"14,400",https://www.yes24.com/product/goods/92364669
330,한컴오피스 2020 한글+한셀+한쇼+한워드,"㈜한글과컴퓨터, 허미현, 부성순",영진닷컴,2020년 07월,"17,100",https://www.yes24.com/product/goods/91071614
331,STM32CubeIDE를 이용한 STM32 따라하기,"김남수, 이진형",북랩,2020년 06월,"19,800",https://www.yes24.com/product/goods/90611902
332,최강 브롤러 전략 가이드북,제이슨 리치,서울문화사,2020년 02월,"14,220",https://www.yes24.com/product/goods/89308097
333,그림으로 배우는 네트워크 원리,"Gene, 김성훈",영진닷컴,2020년 02월,"14,400",https://www.yes24.com/product/goods/88244509
334,된다! 7일 실무 엑셀,한정희,이지스퍼블리싱,2019년 07월,"18,000",https://www.yes24.com/product/goods/76182394
335,모두의 데이터 분석 with 파이썬,"송석리, 이현아",길벗,2019년 04월,"16,200",https://www.yes24.com/product/goods/72227684
336,Clean Code 클린 코드,"로버트 C. 마틴, 박재호, 이해영",인사이트(insight),2013년 12월,"29,700",https://www.yes24.com/product/goods/11681152
337,린 스타트업,"에릭 리스, 이창수, 송우일",인사이트(insight),2012년 11월,"16,200",https://www.yes24.com/product/goods/7921251
338,머신러닝 플랫폼 엔지니어링,"벤저민 탄 웨이 하오, 샤눕 파드마나반, 바룬 말랴, 허정준",책만,2026년 07월,"31,500",https://www.yes24.com/product/goods/193465618
339,"디자인, 이렇게 하면 되나요? (최신 개정판)","오자와 하야토, 구수영",제이펍,2026년 06월,"19,620",https://www.yes24.com/product/goods/192090241
340,오렌지3 with 파이썬,"김현철, 김종혜, 박종화, 임진숙",생능북스,2026년 06월,"28,800",https://www.yes24.com/product/goods/191890082
341,AI기본법이 뭐길래,"노신정, 마작가",페스트북,2026년 06월,"15,300",https://www.yes24.com/product/goods/191817076
342,파이썬의 도구들,정국진,영진닷컴,2026년 06월,"21,600",https://www.yes24.com/product/goods/191208982
343,AI 생존 지도,이석현,여림재,2026년 06월,"18,000",https://www.yes24.com/product/goods/191018764
344,AI 에이전트 개발과 운영 올인원 가이드,"온다 미노루, 오쓰보 유, 쓰카다 마사키, 두발타고",제이펍,2026년 06월,"29,700",https://www.yes24.com/product/goods/190278636
345,처음 시작하는 바이브 코딩,"사카이 마리코, KEITO, 고범석, 이한나",영진닷컴,2026년 06월,"18,000",https://www.yes24.com/product/goods/190272030
346,Node.js + NestJS 교과서,조현영,길벗,2026년 05월,"36,000",https://www.yes24.com/product/goods/190250717
347,취미가 돈이 되는 인스타툰,이건용,시프트,2026년 06월,"19,800",https://www.yes24.com/product/goods/189857110
348,AI 에이전트 개발 완벽 입문,"에디 유, 김대규, 조경아, 김현지",위키북스,2026년 04월,"37,800",https://www.yes24.com/product/goods/186921504
349,네이버 블로그 AI 자동화 마케팅 with 챗GPT+Zapier+Make,조영빈,디지털북스,2025년 04월,"18,000",https://www.yes24.com/product/goods/145343581
350,나의 첫 노션 Notion 마스터북,이유미,비즈니스북스,2024년 07월,"17,550",https://www.yes24.com/product/goods/128724816
351,혼자 공부하는 자바스크립트,윤인성,한빛미디어,2021년 01월,"21,600",https://www.yes24.com/product/goods/96234546
352,AI 창업 퍼실리테이터,"박상혁, 이명관",커뮤니케이션북스,2026년 07월,"12,000",https://www.yes24.com/product/goods/193448335
353,SAP ABAP 이야기 1 - Home 서버 설치 및 ABAP 입문,김병순,BOOKK(부크크),2026년 07월,"28,000",https://www.yes24.com/product/goods/193406835
354,무조건 승인되는 이모티콘 & 굿즈 만들기,백지수,시대인,2026년 07월,"16,200",https://www.yes24.com/product/goods/193188006
355,이공계생을 위한 파이썬 필수예제 3,윤성호,지오북스,2026년 09월,"29,000",https://www.yes24.com/product/goods/193184516
356,컴퓨터 왕기초(윈도우 11&인터넷(엣지)&한글 2022&엑셀 2021&파워포인트 2021),OPIG 교재편찬팀,시대인,2026년 07월,"13,500",https://www.yes24.com/product/goods/193181823
357,고등학생을 위한 실습으로 배우는 데이터 과학,"윤태현, 나소영",삼양미디어,2026년 07월,"22,500",https://www.yes24.com/product/goods/193181272
358,Physical AI 지능제어 입문,박연묵,교우,2026년 07월,"20,000",https://www.yes24.com/product/goods/193072395
359,생성형 AI와 메타버스 그리고 지식재산권,송은지,커뮤니케이션북스,2026년 07월,"12,000",https://www.yes24.com/product/goods/193061800
360,처음이야? 파이썬 데이터 모델링&머신러닝,"윤영빈, 오환, 이용희",영진닷컴,2026년 07월,"22,500",https://www.yes24.com/product/goods/192676816
361,테디노트의 LangGraph 에이전트 비법노트,"이경록, 김태한, 임한택, 최재훈, 강민석, 정보 더 보기/감추기, 이경록, 김태한, 임한택, 최재훈, 강민석, 김성연",리코멘드,2026년 07월,"30,600",https://www.yes24.com/product/goods/192564687
362,실전 코딩 테스트 가이드,"이상도, 쩜튜브, 김민상",영진닷컴,2026년 06월,"25,200",https://www.yes24.com/product/goods/192555244
363,생성형 AI와 틴커캐드로 완성하는 아두이노 발명 프로젝트,이은상,BOOKK(부크크),2026년 06월,"19,700",https://www.yes24.com/product/goods/192498898
364,현직 개발자가 알려주는 Claude Code - 초 보 에 서 전 문 가 되기,일락,BOOKK(부크크),2026년 06월,"44,100",https://www.yes24.com/product/goods/192090524
