순위,도서명,저자,출판사,출판일,가격,링크
40,구글 시트로 스마트한 학교 만들기 : 교사를 위한 스프레드시트 활용 가이드,"지미정, 장성진, 유병선",앤써북,2025년 04월,"21,960",https://www.yes24.com/product/goods/144648441
41,AI가 두려운 당신에게,"배경훈, 과학기술정보통신부",한빛미디어,2026년 07월,"16,020",https://www.yes24.com/product/goods/193361186
42,딥 유토피아,"닉 보스트롬, 김의석",까치(까치글방),2026년 05월,"25,200",https://www.yes24.com/product/goods/192878493
43,요즘 교사를 위한 AI×에듀테크 가이드 음악&미술 수업 편 with 2022 개정 교육과정,"김태선, 조민의",한빛미디어,2026년 06월,"18,900",https://www.yes24.com/product/goods/192509680
44,Do it! AI 시대에 살아남는 프런트엔드 면접의 기술,정희,이지스퍼블리싱,2026년 06월,"32,400",https://www.yes24.com/product/goods/191211795
45,중국 AI 미래 지도,"임선영, 정진호",책만,2026년 06월,"24,300",https://www.yes24.com/product/goods/191700749
46,AI 시대에 개발자가 알아야 할 인프라 구성 배포 with 클로드 코드,조훈,길벗,2026년 06월,"21,600",https://www.yes24.com/product/goods/191693950
47,원하는 대로 튜닝하는 나만의 sLLM,오지영,길벗,2026년 07월,"30,600",https://www.yes24.com/product/goods/193160264
48,"돈이 되네? 주문과 매출이 동시에 터지는 스마트스토어+쿠팡 [AI 실전 활용, 2026년 정책 반영]",김경은(단아쌤),골든래빗,2026년 07월,"23,220",https://www.yes24.com/product/goods/192695313
49,제미나이 교사 마스터 플랜 (2026년 최신판),한민철,책바세,2026년 04월,"27,000",https://www.yes24.com/product/goods/183545796
50,된다! 조회수 터지는 유튜브 쇼츠 만들기,최지영,이지스퍼블리싱,2025년 04월,"19,800",https://www.yes24.com/product/goods/143907967
51,한 권으로 끝내는 제미나이 재테크,조성호,한빛미디어,2026년 07월,"18,900",https://www.yes24.com/product/goods/193044742
52,"딸깍! 나의 업무 비서 클로드 with 엑셀, 파워포인트",LearnAI Team,위키북스,2026년 07월,"23,400",https://www.yes24.com/product/goods/192564690
53,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오","현병욱(오땡큐), 신수진",시프트,2025년 09월,"18,000",https://www.yes24.com/product/goods/152644865
54,AI 2041,"리카이푸, 천치우판, 이현",한빛비즈,2023년 01월,"26,820",https://www.yes24.com/product/goods/116860343
55,이게 되네? AI 실무 올인원 미친 활용법 71제,이석현,골든래빗,2026년 07월,"23,400",https://www.yes24.com/product/goods/192277218
56,이게 되네? 캔바 AI 미친 활용법 47제,이지쌤(이지훈),골든래빗,2026년 05월,"21,600",https://www.yes24.com/product/goods/187491806
57,슬기로운 교사 생활 캔바 AI 수업 활용법,미나리쌤,골든래빗,2026년 07월,"21,420",https://www.yes24.com/product/goods/192877328
58,된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터,이지스퍼블리싱,2025년 06월,"18,000",https://www.yes24.com/product/goods/146955725
59,리더의 AI 노트,김지현,한빛미디어,2026년 06월,"21,600",https://www.yes24.com/product/goods/192529089
60,90% 교사가 모르는 내 컴퓨터 숨겨진 꿀기능 40제,최우진,앤써북,2026년 07월,"15,930",https://www.yes24.com/product/goods/193050689
61,회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희),메가스터디북스,2022년 09월,"16,200",https://www.yes24.com/product/goods/112941801
62,검색은 끝났다 AEO·GEO 마케팅,"주민건, 한용희, 김진용",골든래빗,2026년 06월,"21,600",https://www.yes24.com/product/goods/191698395
63,"다시, 소프트웨어 엔지니어","네서니얼 슈타, 댄 베가, 박성철",책만,2026년 05월,"27,000",https://www.yes24.com/product/goods/189674360
64,"AI 리터러시 플러스+: 인공지능 기본부터 도구 선택, 조합, 실전 활용까지",김용성,프리렉,2026년 04월,"22,500",https://www.yes24.com/product/goods/185714339
65,혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,2025년 04월,"28,800",https://www.yes24.com/product/goods/143912145
66,수업에 바로 쓰는 일잘러 선생님의 캔바 Canva 활용법,황은지,제이펍,2026년 05월,"19,800",https://www.yes24.com/product/goods/189128697
67,된다! 하루 만에 준비하는 AI 학교 수업 활용법,"정인걸, 김경수",이지스퍼블리싱,2025년 03월,"17,820",https://www.yes24.com/product/goods/142814138
68,혼자 공부하는 C 언어,서현우,한빛미디어,2023년 05월,"23,400",https://www.yes24.com/product/goods/118982111
69,밑바닥부터 따라하면서 배우는 클로드 코드 완전 정복,엄태효,위키북스,2026년 06월,"25,200",https://www.yes24.com/product/goods/192047818
70,클로드 코워크,신승희,생능북스,2026년 06월,"21,600",https://www.yes24.com/product/goods/190852162
71,아키텍처는 진화한다,공상휘,인사이트(insight),2026년 07월,"25,200",https://www.yes24.com/product/goods/192470678
72,AI시대에 난생처음 들어보는 데이터센터 이야기,김주회,북플레이트,2026년 04월,"19,800",https://www.yes24.com/product/goods/188266803
73,진짜 쓰는 프리미어 영상 편집 2026 (최신개정판),조블리,제이펍,2026년 06월,"23,400",https://www.yes24.com/product/goods/191173742
74,"요즘 교사를 위한 체육 수업 에듀테크 활용법 : 요즘 체육 수업, 에듀테크로 설계하고 기록되고 성장으로 남는다!","임우균, 서지원",앤써북,2026년 02월,"15,120",https://www.yes24.com/product/goods/176901915
75,그림으로 이해하는 IT 인프라 구조와 기술,"츠루나가 신이치, 야마모토 나오아키, 야마네 다케노부, 기타자키 아야치카, 김성훈",길벗,2026년 06월,"19,800",https://www.yes24.com/product/goods/192533233
76,클로드 코워크 시작하기,조남경,비엘북스,2026년 07월,"25,200",https://www.yes24.com/product/goods/192164452
77,AI 냄새 지우기,벤진 리드,자이언톡,2026년 06월,"17,820",https://www.yes24.com/product/goods/191485571
78,된다! 스레드 활용법,거북이걸음,이지스퍼블리싱,2026년 06월,"19,800",https://www.yes24.com/product/goods/189520507
79,돈이 되네? 수익과 성장이 동시에 터지는 네이버 블로그,정소희,골든래빗,2026년 04월,"23,220",https://www.yes24.com/product/goods/185824258
80,된다! 조회수 터지는 인스타그램 릴스 만들기,최지영,이지스퍼블리싱,2026년 03월,"18,900",https://www.yes24.com/product/goods/180508055
81,맛있는 디자인 포토샵&일러스트레이터 CC 2026,"박정아, 윤이사라",한빛미디어,2026년 02월,"23,400",https://www.yes24.com/product/goods/176410996
82,7가지 생성 AI로 영상 제작 & 편집하기 with 챗GPT & 미드저니 & 런웨이(개정판),홍순성,한빛미디어,2026년 06월,"22,500",https://www.yes24.com/product/goods/191321951
83,Do it! 유니티 6로 게임 제작 & 출시하기,고정운,이지스퍼블리싱,2026년 05월,"32,400",https://www.yes24.com/product/goods/189790267
84,AI 실전 마스터 칼릭스의 프롬프트 디테일,칼릭스(손윤석),한빛비즈,2026년 04월,"19,800",https://www.yes24.com/product/goods/187927629
85,n8n이 다 해줌,"이인영, 임정",한빛미디어,2026년 04월,"25,200",https://www.yes24.com/product/goods/185269651
86,한 권으로 끝내는 피지컬 AI ROS2 입문+실전(종합편),"서민우, 전현희, 이현아, 박찬호",앤써북,2026년 04월,"22,950",https://www.yes24.com/product/goods/184310483
87,Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용,이지스퍼블리싱,2025년 05월,"31,500",https://www.yes24.com/product/goods/146036009
88,혼자 공부하는 컴퓨터 구조+운영체제,강민철,한빛미디어,2022년 08월,"25,200",https://www.yes24.com/product/goods/111378840
89,요즘 바이브 코딩 하네스 with 클로드 코드,조성진,골든래빗,2026년 06월,"27,000",https://www.yes24.com/product/goods/190806231
90,클로드 코드를 활용한 바이브 코딩 완벽 입문,"히라카와 토모히데, 최용",위키북스,2026년 03월,"23,400",https://www.yes24.com/product/goods/180513899
91,"누구나 성공하는 AI 비서, 오픈클로","박권, 임세범, 홍성용, 정용석, 김경상, 정보 더 보기/감추기, 박권, 임세범, 홍성용, 정용석, 김경상, 김준오, 강현수",책밥,2026년 07월,"21,600",https://www.yes24.com/product/goods/193691277
92,AI 영상 제작,"문수민, 민지영, 신호진, 강경희, 앤미디어",길벗,2026년 07월,"24,300",https://www.yes24.com/product/goods/193681748
93,벡터 데이터베이스 설계와 구축,송기상,아이리포,2026년 07월,"17,820",https://www.yes24.com/product/goods/192962342
94,생성형 AI 치트키 (한 권으로 끝내는 실전 매뉴얼),장미희,박문각,2026년 07월,"20,900",https://www.yes24.com/product/goods/192662784
95,베테랑 AI 전문가가 만든 가장 쉬운 제미나이 활용! Gemini(제미나이)로 무엇이든 만들 수 있다 (AI 비서 영상 만들기 · 유튜브 숏폼),"송상미, 윤소영, 강은정",광문각출판미디어,2026년 05월,"19,000",https://www.yes24.com/product/goods/189629427
96,승인율 99.9% 움직이는 이모티콘 만들기 with 프로크리에이트,씨엠제이(최민정),한빛미디어,2026년 05월,"16,200",https://www.yes24.com/product/goods/188882750
97,모두의 노션 AI,"임대균, 오가연",생능북스,2026년 04월,"15,120",https://www.yes24.com/product/goods/183919456
98,AI 시대 서·논술형 평가 설계 바이블,"조현준, 이근숙, 권좌실, 이슬기, 엄주연, 정보 더 보기/감추기, 조현준, 이근숙, 권좌실, 이슬기, 엄주연, 오덕수",에듀니티교육연구소(에듀니티),2026년 03월,"19,800",https://www.yes24.com/product/goods/183539313
99,AI 에이전트 엔지니어링,"마이클 알바다, 강민혁",한빛미디어,2026년 01월,"28,800",https://www.yes24.com/product/goods/174018513
100,이게 되네? AI 쇼츠 만들기 미친 자동화 22제,천은영,골든래빗,2026년 01월,"23,400",https://www.yes24.com/product/goods/169665962
101,대체불가 AI 영상 제작 완전정복,이용태,책바세,2025년 12월,"26,100",https://www.yes24.com/product/goods/165239801
102,AI 엔지니어링,"칩 후옌, 변성윤",한빛미디어,2025년 09월,"36,000",https://www.yes24.com/product/goods/154925812
103,업무와 일상을 정리하는 새로운 방법 노션,전시진,제이펍,2025년 06월,"21,600",https://www.yes24.com/product/goods/147074475
104,핸즈온 LLM,"제이 알아마르, 마르턴 흐루턴도르스트, 박해선",한빛미디어,2025년 06월,"34,200",https://www.yes24.com/product/goods/146828240
105,질문으로 답을 찾는 인공지능 윤리 수업,박형빈,한언,2025년 04월,"18,900",https://www.yes24.com/product/goods/144979816
106,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷,김지희,시프트,2025년 03월,"20,700",https://www.yes24.com/product/goods/142201171
107,바로바로 챗GPT X 덕테이프 X 코덱스,박현규,골든래빗,2026년 06월,"21,600",https://www.yes24.com/product/goods/191479539
108,하루 2시간 경력단절 엄마의 블로그로 시작하는 온라인 브랜딩,그릿지선(이지선),호호북앤드림,2026년 07월,"17,820",https://www.yes24.com/product/goods/193667871
109,색보정을 시작하는 초보 컬러리스트 유튜버를 위한 다빈치리졸브 색보정,전수연,디지털북스,2026년 07월,"19,800",https://www.yes24.com/product/goods/193184189
110,ComfyUI 독학노트,"김한호, 김홍일, 권구영, 윤택한, 최태온, 정보 더 보기/감추기, 김한호, 김홍일, 권구영, 윤택한, 최태온, 김나래, 안현준",성안당,2026년 07월,"34,200",https://www.yes24.com/product/goods/193157707
111,요즘 바이브 코딩 수익화 앱 만들기 with 커서 AI 마켓 등록·인앱 결제·구독 상품,시몬,골든래빗,2026년 07월,"30,600",https://www.yes24.com/product/goods/193084292
112,이게 되네? 클로드 MCP 커넥터 미친 활용법 31제,"박현규, 김성경",골든래빗,2026년 06월,"21,600",https://www.yes24.com/product/goods/190210781
113,알고 나면 무조건 써먹는 실무 엑셀,정훈희,한빛미디어,2026년 05월,"20,700",https://www.yes24.com/product/goods/188859248
114,퇴근이 빨라지는 제미나이 & 노트북LM 업무 자동화 정석 엑셀 X AI,권현욱,디지털북스,2026년 04월,"19,800",https://www.yes24.com/product/goods/187039263
115,자연은 왜 이토록 단순하면서도 아름다운가,"로버트 칸, 크리스 퀴그, 박병철",알에이치코리아(RHK),2026년 04월,"31,500",https://www.yes24.com/product/goods/186833195
116,맛있는 디자인 프리미어 프로&애프터 이펙트 CC 2026,"심수진, 윤성우, 이수정",한빛미디어,2026년 03월,"24,300",https://www.yes24.com/product/goods/179619230
117,AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,Dave Lee,길벗,2026년 02월,"28,800",https://www.yes24.com/product/goods/175525819
118,"서논술형 평가, AI로 깊이를 더하다","지미정, 장희영, 권의선, 이진원, 김수경, 정보 더 보기/감추기, 지미정, 장희영, 권의선, 이진원, 김수경, 박범진",앤써북,2025년 12월,"22,950",https://www.yes24.com/product/goods/167719977
119,처음이지만 프로처럼 쓰는 노션 Notion,박한용,디지털북스,2025년 09월,"22,500",https://www.yes24.com/product/goods/154182485
120,회사에서 바로 통하는 실무 엑셀 파워포인트 워드&한글,"전미진, 이화진, 신면철",한빛미디어,2025년 08월,"24,300",https://www.yes24.com/product/goods/151066074
121,한 권으로 끝내는 아두이노 입문+실전 (종합편),"서민우, 코코랩스",앤써북,2025년 03월,"19,800",https://www.yes24.com/product/goods/143539772
122,이게 되네? 챗GPT 미친 활용법 71제,오힘찬,골든래빗,2025년 01월,"21,600",https://www.yes24.com/product/goods/140835200
123,혼자 공부하는 네트워크,강민철,한빛미디어,2024년 04월,"25,200",https://www.yes24.com/product/goods/125830483
124,F1 레이스카의 공기역학,"윤재수, 김효원",골든래빗,2023년 11월,"45,000",https://www.yes24.com/product/goods/122966082
125,후니의 쉽게 쓴 시스코 네트워킹,진강훈,성안당,2024년 08월,"38,700",https://www.yes24.com/product/goods/113485068
126,혼자 공부하는 SQL,우재남,한빛미디어,2021년 11월,"21,600",https://www.yes24.com/product/goods/104661489
127,주인의 눈,"맛떼오 파스퀴넬리, 이광석, 김상민",동녘,2026년 06월,"27,000",https://www.yes24.com/product/goods/192469511
128,AI 자율학습 AI 에이전트 개발 입문,박경민,길벗,2026년 07월,"28,800",https://www.yes24.com/product/goods/192583611
129,AI 에이전트 실행 세계 2 : 설계편,조쉬,로드북,2026년 06월,"31,500",https://www.yes24.com/product/goods/191507359
130,혼자 해도 프로 선생님처럼 잘 설계하는 AI 자동화 교실,"박창민, 이승우, 이슬민, 김동환, 김민, 정보 더 보기/감추기, 박창민, 이승우, 이슬민, 김동환, 김민, 김태현, 이운희, 이현석",한빛미디어,2026년 07월,"20,700",https://www.yes24.com/product/goods/192630668
131,만들면서 배우는 AI 에이전트 개발 입문+실전,박나연(공원나연),한빛미디어,2026년 05월,"33,300",https://www.yes24.com/product/goods/187703288
132,요즘 바이브 코딩 커서 X 클로드 코드 실전 외주 돈 벌기,불혹코딩,골든래빗,2026년 05월,"23,400",https://www.yes24.com/product/goods/187024885
133,AI 국부론,이승현,골든래빗,2026년 03월,"25,200",https://www.yes24.com/product/goods/181178233
134,무조건 도움되는 유아교사 업무경감,"김나영, 남동윤, 이영은, 장효정, 최지이, 정보 더 보기/감추기, 김나영, 남동윤, 이영은, 장효정, 최지이, 황경미",교육과실천,2026년 01월,"22,950",https://www.yes24.com/product/goods/174197933
135,AI 로봇 구조 교과서,유승남,보누스,2026년 01월,"20,700",https://www.yes24.com/product/goods/172059324
136,나는 오렌지3로 인공지능한다,"장병철, 서미란, 박지훈, 정종호",씨마스,2025년 12월,"20,700",https://www.yes24.com/product/goods/167452848
137,밑바닥부터 만들면서 배우는 LLM,"세바스찬 라시카, 박해선",길벗,2025년 09월,"36,000",https://www.yes24.com/product/goods/154099735
138,바로 배워서 바로 써먹는 바이브 코딩,"박찬, 김병석, 전수연, 김지용, 구현희, 정보 더 보기/감추기, 박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 이상선",다빈치books,2025년 09월,"19,800",https://www.yes24.com/product/goods/152079426
139,보고서 기획서 고민 없이 시작해서 30분 만에 끝내주는 프롬프트 책,박경수,한빛비즈,2025년 08월,"19,800",https://www.yes24.com/product/goods/150009333
140,디자인 구구단,에이핫,길벗,2024년 08월,"18,000",https://www.yes24.com/product/goods/129392318
141,그림으로 이해하는 서버 구조와 기술,"요코타 카즈키, 엔도 유키, 김성훈",길벗,2024년 06월,"19,800",https://www.yes24.com/product/goods/127086566
142,Do it! C++ 완전 정복,"조규남, 문종채",이지스퍼블리싱,2024년 03월,"28,800",https://www.yes24.com/product/goods/125606390
143,오토캐드 40시간 완성,신동진,피앤피북,2024년 03월,"18,000",https://www.yes24.com/product/goods/125293471
144,모두의 네트워크 기초,서지영,길벗,2024년 01월,"21,600",https://www.yes24.com/product/goods/124806989
145,핸즈온 머신러닝,"오렐리앙 제롱, 박해선",한빛미디어,2023년 09월,"54,000",https://www.yes24.com/product/goods/122338517
146,가상 면접 사례로 배우는 대규모 시스템 설계 기초,"알렉스 쉬, 이병준",인사이트(insight),2021년 07월,"21,600",https://www.yes24.com/product/goods/102819435
147,소프트웨어 테스트 전문가(CSTS) 가이드,한국정보통신기술협회(TTA),홍릉,2021년 04월,"31,350",https://www.yes24.com/product/goods/99359735
148,데이터 중심 애플리케이션 설계,"마틴 클레프만, 정재부, 김영준, 이도경",위키북스,2018년 04월,"32,400",https://www.yes24.com/product/goods/59566585
149,미래를 바꾼 아홉 가지 알고리즘,"존 맥코믹, 민병교",에이콘출판사,2013년 05월,"16,920",https://www.yes24.com/product/goods/8921236
150,바이브 엔지니어링,제이 킴,길벗,2026년 06월,"21,600",https://www.yes24.com/product/goods/192277220
